серия T;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;ВЭ;600x600x250;87,62 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,22 €;171,84 €;11 169,60 ?;309,31 €;20 105,28 ?;;;
;ВЭ;600x800x250;102,28 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;14,04 €;230,32 €;14 970,80 ?;414,58 €;26 947,44 ?;;;
;ВЭ;600x1000x250;123,57 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,00 €;254,57 €;16 547,05 ?;458,23 €;29 784,69 ?;;;
;;650x650x250;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,71 €;57,71 €;3 751,15 ?;103,88 €;6 752,07 ?;;;
;;400x800x300;;;11,00 €;11,00 €;;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;11,56 €;56,56 €;3 676,40 ?;101,81 €;6 617,52 ?;;;
;ВЭ;500x500x300;101,60 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,35 €;181,95 €;11 826,75 ?;327,51 €;21 288,15 ?;;;
;ВЭ;600x600x300;84,47 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;12,24 €;169,71 €;11 031,15 ?;305,48 €;19 856,07 ?;;;
;ВЭ;600x800x300;108,91 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;238,21 €;15 483,65 ?;428,78 €;27 870,57 ?;;;
;ВЭ;600x1000x300;138,23 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;18,36 €;270,59 €;17 588,35 ?;487,06 €;31 659,03 ?;;;
;ВЭ;600x1200x300;150,10 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;21,42 €;285,52 €;18 558,80 ?;513,94 €;33 405,84 ?;;;
;Риттал;760x760x300;147,18 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;17,57 €;278,75 €;18 118,75 ?;501,75 €;32 613,75 ?;;;
