серия TL;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;Риттал;1000x760x210;234,12 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;19,20 €;340,32 €;22 120,80 ?;612,58 €;39 817,44 ?;;;
;;400x400x250;;;;11,00 €;;;;;1,50 €;1,50 €;3,00 €;1,00 €;6,12 €;24,12 €;1 567,80 ?;43,42 €;2 822,04 ?;;;
;ВЭ;400x500x250;52,36 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;7,23 €;103,59 €;6 733,35 ?;186,46 €;12 120,03 ?;;;
;ВЭ;400x600x250;61,79 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;8,33 €;114,12 €;7 417,80 ?;205,42 €;13 352,04 ?;;;
;;400x650x250;;;;11,00 €;;;;;1,50 €;1,50 €;3,00 €;1,00 €;8,88 €;26,88 €;1 747,20 ?;48,38 €;3 144,96 ?;;;
;ВЭ;500x700x250;78,19 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;11,05 €;135,24 €;8 790,60 ?;243,43 €;15 823,08 ?;;;
;ВЭ;600x600x250;87,62 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;11,22 €;144,84 €;9 414,60 ?;260,71 €;16 946,28 ?;;;
;ВЭ;600x800x250;102,28 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;14,04 €;203,32 €;13 215,80 ?;365,98 €;23 788,44 ?;;;
;ВЭ;600x1000x250;123,57 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;17,00 €;227,57 €;14 792,05 ?;386,87 €;25 146,49 ?;;;
;;650x650x250;;;;11,00 €;;;;;1,50 €;1,50 €;3,00 €;1,00 €;12,71 €;30,71 €;1 996,15 ?;55,28 €;3 593,07 ?;;;
;;400x800x300;;;;11,00 €;;;;;1,50 €;1,50 €;3,00 €;1,00 €;11,56 €;29,56 €;1 921,40 ?;53,21 €;3 458,52 ?;;;
;ВЭ;500x500x300;101,60 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;9,35 €;154,95 €;10 071,75 ?;278,91 €;18 129,15 ?;;;
;ВЭ;600x600x300;84,47 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;12,24 €;142,71 €;9 276,15 ?;256,88 €;16 697,07 ?;;;
;ВЭ;600x800x300;108,91 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;211,21 €;13 728,65 ?;380,18 €;24 711,57 ?;;;
;ВЭ;600x1000x300;138,23 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;18,36 €;243,59 €;15 833,35 ?;438,46 €;28 500,03 ?;;;
;ВЭ;600x1200x300;150,10 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;21,42 €;258,52 €;16 803,80 ?;465,34 €;30 246,84 ?;;;
;Риттал;760x760x300;147,18 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;17,57 €;251,75 €;16 363,75 ?;453,15 €;29 454,75 ?;;;
;Риттал;800x600x300;183,00 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;285,30 €;18 544,50 ?;513,54 €;33 380,10 ?;;;
;Риттал;800x800x300;138,23 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;19,04 €;244,27 €;15 877,55 ?;439,69 €;28 579,59 ?;;;
;Риттал;800x1000x300;166,75 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;22,78 €;276,53 €;17 974,45 ?;497,75 €;32 354,01 ?;;;
;Риттал;800x1200x300;212,25 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;26,52 €;325,77 €;21 175,05 ?;586,39 €;38 115,09 ?;;;
;Риттал;1000x1000x300;243,73 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;27,20 €;357,93 €;23 265,45 ?;644,27 €;41 877,81 ?;;;
;Риттал;1000x1200x300;298,12 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;31,62 €;416,74 €;27 088,17 ?;750,13 €;48 758,70 ?;;;
;Риттал;1000x1400x300;358,96 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;36,04 €;482,00 €;31 330,00 ?;867,60 €;56 394,00 ?;;;
;Риттал;380x600x350;108,96 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;162,67 €;10 573,55 ?;292,81 €;19 032,39 ?;;;
